DETALLE DE HORARIOS SEMANA 18-23 MAY 2026;;;;;;;;
Laboratorio;Aforo;Fecha;Dia;Hora Inicio;Hora Fin;Estado;Cap. Total;Cap. Ocupada
A1-1;30;22/05/2026;Viernes;09:40;11:20;Bloqueado;30;30
A1-1;30;22/05/2026;Viernes;11:20;13:00;Disponible;30;0
A1-1;30;22/05/2026;Viernes;13:00;13:50;Bloqueado;30;30
A1-1;30;22/05/2026;Viernes;13:50;15:30;Bloqueado;30;30
A1-1;30;22/05/2026;Viernes;15:30;17:10;Bloqueado;30;30
A1-1;30;22/05/2026;Viernes;17:10;18:50;Bloqueado;30;30
A1-1;30;22/05/2026;Viernes;18:50;20:30;Bloqueado;30;30
A1-1;30;22/05/2026;Viernes;20:30;22:10;Bloqueado;30;30
A1-1;30;23/05/2026;Sabado;08:00;09:40;Bloqueado;30;30
A1-1;30;23/05/2026;Sabado;09:40;11:20;Bloqueado;30;30
A1-1;30;23/05/2026;Sabado;11:20;13:00;Disponible;30;0
A1-1;30;23/05/2026;Sabado;13:00;13:50;Bloqueado;30;30
A1-1;30;23/05/2026;Sabado;13:50;15:30;Disponible;30;0
A1-1;30;23/05/2026;Sabado;15:30;17:10;Bloqueado;30;30
A1-1;30;23/05/2026;Sabado;17:10;18:50;Bloqueado;30;30
A1-1;30;23/05/2026;Sabado;18:50;20:30;Disponible;30;0
A1-1;30;23/05/2026;Sabado;20:30;22:10;Disponible;30;0
A2-3;30;18/05/2026;Lunes;08:00;09:40;Bloqueado;30;30
A2-3;30;18/05/2026;Lunes;09:40;11:20;Bloqueado;30;30
A2-3;30;18/05/2026;Lunes;11:20;13:00;Disponible;30;0
A2-3;30;18/05/2026;Lunes;13:00;13:50;Bloqueado;30;30
A2-3;30;18/05/2026;Lunes;13:50;15:30;Bloqueado;30;30
A2-3;30;18/05/2026;Lunes;15:30;17:10;Bloqueado;30;30
A2-3;30;18/05/2026;Lunes;17:10;18:50;Bloqueado;30;30
A2-3;30;18/05/2026;Lunes;18:50;20:30;Bloqueado;30;30
A2-3;30;18/05/2026;Lunes;20:30;22:10;Bloqueado;30;30
A2-3;30;19/05/2026;Martes;08:00;09:40;Bloqueado;30;30
A2-3;30;19/05/2026;Martes;09:40;11:20;Bloqueado;30;30
A2-3;30;19/05/2026;Martes;11:20;13:00;Disponible;30;0
A2-3;30;19/05/2026;Martes;13:00;13:50;Bloqueado;30;30
A2-3;30;19/05/2026;Martes;13:50;15:30;Bloqueado;30;30
A2-3;30;19/05/2026;Martes;15:30;17:10;Bloqueado;30;30
A2-3;30;19/05/2026;Martes;17:10;18:50;Bloqueado;30;30
A2-3;30;19/05/2026;Martes;18:50;20:30;Bloqueado;30;30
A2-3;30;19/05/2026;Martes;20:30;22:10;Disponible;30;0
A2-3;30;20/05/2026;Miercoles;08:00;09:40;Bloqueado;30;30
A2-3;30;20/05/2026;Miercoles;09:40;11:20;Bloqueado;30;30
A2-3;30;20/05/2026;Miercoles;11:20;13:00;Disponible;30;0
A2-3;30;20/05/2026;Miercoles;13:00;13:50;Bloqueado;30;30
A2-3;30;20/05/2026;Miercoles;13:50;15:30;Disponible;30;0
A2-3;30;20/05/2026;Miercoles;15:30;17:10;Bloqueado;30;30
A2-3;30;20/05/2026;Miercoles;17:10;18:50;Bloqueado;30;30
A2-3;30;20/05/2026;Miercoles;18:50;20:30;Bloqueado;30;30
A2-3;30;20/05/2026;Miercoles;20:30;22:10;Bloqueado;30;30
A2-3;30;21/05/2026;Jueves;08:00;09:40;Bloqueado;30;30
A2-3;30;21/05/2026;Jueves;09:40;11:20;Bloqueado;30;30
A2-3;30;21/05/2026;Jueves;11:20;13:00;Disponible;30;0
A2-3;30;21/05/2026;Jueves;13:00;13:50;Bloqueado;30;30
A2-3;30;21/05/2026;Jueves;13:50;15:30;Bloqueado;30;30
A2-3;30;21/05/2026;Jueves;15:30;17:10;Bloqueado;30;30
A2-3;30;21/05/2026;Jueves;17:10;18:50;Bloqueado;30;30
A2-3;30;21/05/2026;Jueves;18:50;20:30;Bloqueado;30;30
A2-3;30;21/05/2026;Jueves;20:30;22:10;Bloqueado;30;30
A2-3;30;22/05/2026;Viernes;08:00;09:40;Bloqueado;30;30
A2-3;30;22/05/2026;Viernes;09:40;11:20;Bloqueado;30;30
A2-3;30;22/05/2026;Viernes;11:20;13:00;Disponible;30;0
A2-3;30;22/05/2026;Viernes;13:00;13:50;Bloqueado;30;30
A2-3;30;22/05/2026;Viernes;13:50;15:30;Bloqueado;30;30
A2-3;30;22/05/2026;Viernes;15:30;17:10;Bloqueado;30;30
A2-3;30;22/05/2026;Viernes;17:10;18:50;Bloqueado;30;30
A2-3;30;22/05/2026;Viernes;18:50;20:30;Bloqueado;30;30
A2-3;30;22/05/2026;Viernes;20:30;22:10;Bloqueado;30;30
A2-3;30;23/05/2026;Sabado;08:00;09:40;Bloqueado;30;30
A2-3;30;23/05/2026;Sabado;09:40;11:20;Bloqueado;30;30
A2-3;30;23/05/2026;Sabado;11:20;13:00;Disponible;30;0
A2-3;30;23/05/2026;Sabado;13:00;13:50;Bloqueado;30;30
A2-3;30;23/05/2026;Sabado;13:50;15:30;Bloqueado;30;30
A2-3;30;23/05/2026;Sabado;15:30;17:10;Bloqueado;30;30
A2-3;30;23/05/2026;Sabado;17:10;18:50;Disponible;30;0
A2-3;30;23/05/2026;Sabado;18:50;20:30;Disponible;30;0
A2-3;30;23/05/2026;Sabado;20:30;22:10;Disponible;30;0
A2-4;30;18/05/2026;Lunes;08:00;09:40;Disponible;30;0
A2-4;30;18/05/2026;Lunes;09:40;11:20;Bloqueado;30;30
A2-4;30;18/05/2026;Lunes;11:20;13:00;Bloqueado;30;30
A2-4;30;18/05/2026;Lunes;13:00;13:50;Bloqueado;30;30
A2-4;30;18/05/2026;Lunes;13:50;15:30;Bloqueado;30;30
A2-4;30;18/05/2026;Lunes;15:30;17:10;Bloqueado;30;30
A2-4;30;18/05/2026;Lunes;17:10;18:50;Bloqueado;30;30
A2-4;30;18/05/2026;Lunes;18:50;20:30;Bloqueado;30;30
A2-4;30;18/05/2026;Lunes;20:30;22:10;Bloqueado;30;30
A2-4;30;19/05/2026;Martes;08:00;09:40;Bloqueado;30;30
A2-4;30;19/05/2026;Martes;09:40;11:20;Bloqueado;30;30
A2-4;30;19/05/2026;Martes;11:20;13:00;Bloqueado;30;30
A2-4;30;19/05/2026;Martes;13:00;13:50;Bloqueado;30;30
A2-4;30;19/05/2026;Martes;13:50;15:30;Bloqueado;30;30
A2-4;30;19/05/2026;Martes;15:30;17:10;Bloqueado;30;30
A2-4;30;19/05/2026;Martes;17:10;18:50;Bloqueado;30;30
A2-4;30;19/05/2026;Martes;18:50;20:30;Disponible;30;0
A2-4;30;19/05/2026;Martes;20:30;22:10;Disponible;30;0
A2-4;30;20/05/2026;Miercoles;08:00;09:40;Bloqueado;30;30
A2-4;30;20/05/2026;Miercoles;09:40;11:20;Bloqueado;30;30
A2-4;30;20/05/2026;Miercoles;11:20;13:00;Bloqueado;30;30
A2-4;30;20/05/2026;Miercoles;13:00;13:50;Bloqueado;30;30
A2-4;30;20/05/2026;Miercoles;13:50;15:30;Bloqueado;30;30
A2-4;30;20/05/2026;Miercoles;15:30;17:10;Bloqueado;30;30
A2-4;30;20/05/2026;Miercoles;17:10;18:50;Bloqueado;30;30
A2-4;30;20/05/2026;Miercoles;18:50;20:30;Bloqueado;30;30
A2-4;30;20/05/2026;Miercoles;20:30;22:10;Bloqueado;30;30
A2-4;30;21/05/2026;Jueves;08:00;09:40;Bloqueado;30;30
A2-4;30;21/05/2026;Jueves;09:40;11:20;Bloqueado;30;30
A2-4;30;21/05/2026;Jueves;11:20;13:00;Disponible;30;0
A2-4;30;21/05/2026;Jueves;13:00;13:50;Bloqueado;30;30
A2-4;30;21/05/2026;Jueves;13:50;15:30;Bloqueado;30;30
A2-4;30;21/05/2026;Jueves;15:30;17:10;Bloqueado;30;30
A2-4;30;21/05/2026;Jueves;17:10;18:50;Bloqueado;30;30
A2-4;30;21/05/2026;Jueves;18:50;20:30;Bloqueado;30;30
A2-4;30;21/05/2026;Jueves;20:30;22:10;Bloqueado;30;30
A2-4;30;22/05/2026;Viernes;08:00;09:40;Bloqueado;30;30
A2-4;30;22/05/2026;Viernes;09:40;11:20;Bloqueado;30;30
A2-4;30;22/05/2026;Viernes;11:20;13:00;Bloqueado;30;30
A2-4;30;22/05/2026;Viernes;13:00;13:50;Bloqueado;30;30
A2-4;30;22/05/2026;Viernes;13:50;15:30;Bloqueado;30;30
A2-4;30;22/05/2026;Viernes;15:30;17:10;Bloqueado;30;30
A2-4;30;22/05/2026;Viernes;17:10;18:50;Bloqueado;30;30
A2-4;30;22/05/2026;Viernes;18:50;20:30;Bloqueado;30;30
A2-4;30;22/05/2026;Viernes;20:30;22:10;Bloqueado;30;30
A2-4;30;23/05/2026;Sabado;08:00;09:40;Disponible;30;0
A2-4;30;23/05/2026;Sabado;09:40;11:20;Disponible;30;0
A2-4;30;23/05/2026;Sabado;11:20;13:00;Disponible;30;0
A2-4;30;23/05/2026;Sabado;13:00;13:50;Bloqueado;30;30
A2-4;30;23/05/2026;Sabado;13:50;15:30;Bloqueado;30;30
A2-4;30;23/05/2026;Sabado;15:30;17:10;Bloqueado;30;30
A2-4;30;23/05/2026;Sabado;17:10;18:50;Bloqueado;30;30
A2-4;30;23/05/2026;Sabado;18:50;20:30;Disponible;30;0
A2-4;30;23/05/2026;Sabado;20:30;22:10;Disponible;30;0
C2-2A;24;18/05/2026;Lunes;08:00;09:40;Bloqueado;24;24
C2-2A;24;18/05/2026;Lunes;09:40;11:20;Bloqueado;24;24
C2-2A;24;18/05/2026;Lunes;11:20;13:00;Bloqueado;24;24
C2-2A;24;18/05/2026;Lunes;13:00;13:50;Bloqueado;24;24
C2-2A;24;18/05/2026;Lunes;13:50;15:30;Bloqueado;24;24
C2-2A;24;18/05/2026;Lunes;15:30;17:10;Bloqueado;24;24
C2-2A;24;18/05/2026;Lunes;17:10;18:50;Disponible;24;0
C2-2A;24;18/05/2026;Lunes;18:50;20:30;Bloqueado;24;24
C2-2A;24;18/05/2026;Lunes;20:30;22:10;Bloqueado;24;24
C2-2A;24;19/05/2026;Martes;08:00;09:40;Bloqueado;24;24
C2-2A;24;19/05/2026;Martes;09:40;11:20;Bloqueado;24;24
C2-2A;24;19/05/2026;Martes;11:20;13:00;Disponible;24;0
C2-2A;24;19/05/2026;Martes;13:00;13:50;Bloqueado;24;24
C2-2A;24;19/05/2026;Martes;13:50;15:30;Bloqueado;24;24
C2-2A;24;19/05/2026;Martes;15:30;17:10;Bloqueado;24;24
C2-2A;24;19/05/2026;Martes;17:10;18:50;Bloqueado;24;24
C2-2A;24;19/05/2026;Martes;18:50;20:30;Bloqueado;24;24
C2-2A;24;19/05/2026;Martes;20:30;22:10;Bloqueado;24;24
C2-2A;24;20/05/2026;Miercoles;08:00;09:40;Bloqueado;24;24
C2-2A;24;20/05/2026;Miercoles;09:40;11:20;Bloqueado;24;24
C2-2A;24;20/05/2026;Miercoles;11:20;13:00;Bloqueado;24;24
C2-2A;24;20/05/2026;Miercoles;13:00;13:50;Bloqueado;24;24
C2-2A;24;20/05/2026;Miercoles;13:50;15:30;Bloqueado;24;24
C2-2A;24;20/05/2026;Miercoles;15:30;17:10;Bloqueado;24;24
C2-2A;24;20/05/2026;Miercoles;17:10;18:50;Disponible;24;0
C2-2A;24;20/05/2026;Miercoles;18:50;20:30;Bloqueado;24;24
C2-2A;24;20/05/2026;Miercoles;20:30;22:10;Bloqueado;24;24
C2-2A;24;21/05/2026;Jueves;08:00;09:40;Disponible;24;0
C2-2A;24;21/05/2026;Jueves;09:40;11:20;Disponible;24;0
C2-2A;24;21/05/2026;Jueves;11:20;13:00;Disponible;24;0
C2-2A;24;21/05/2026;Jueves;13:00;13:50;Bloqueado;24;24
C2-2A;24;21/05/2026;Jueves;13:50;15:30;Bloqueado;24;24
C2-2A;24;21/05/2026;Jueves;15:30;17:10;Bloqueado;24;24
C2-2A;24;21/05/2026;Jueves;17:10;18:50;Bloqueado;24;24
C2-2A;24;21/05/2026;Jueves;18:50;20:30;Bloqueado;24;24
C2-2A;24;21/05/2026;Jueves;20:30;22:10;Bloqueado;24;24
C2-2A;24;22/05/2026;Viernes;08:00;09:40;Bloqueado;24;24
C2-2A;24;22/05/2026;Viernes;09:40;11:20;Bloqueado;24;24
C2-2A;24;22/05/2026;Viernes;11:20;13:00;Bloqueado;24;24
C2-2A;24;22/05/2026;Viernes;13:00;13:50;Bloqueado;24;24
C2-2A;24;22/05/2026;Viernes;13:50;15:30;Bloqueado;24;24
C2-2A;24;22/05/2026;Viernes;15:30;17:10;Bloqueado;24;24
C2-2A;24;22/05/2026;Viernes;17:10;18:50;Bloqueado;24;24
C2-2A;24;22/05/2026;Viernes;18:50;20:30;Bloqueado;24;24
C2-2A;24;22/05/2026;Viernes;20:30;22:10;Bloqueado;24;24
C2-2A;24;23/05/2026;Sabado;08:00;09:40;Disponible;24;0
C2-2A;24;23/05/2026;Sabado;09:40;11:20;Disponible;24;0
C2-2A;24;23/05/2026;Sabado;11:20;13:00;Disponible;24;0
C2-2A;24;23/05/2026;Sabado;13:00;13:50;Bloqueado;24;24
C2-2A;24;23/05/2026;Sabado;13:50;15:30;Disponible;24;0
C2-2A;24;23/05/2026;Sabado;15:30;17:10;Disponible;24;0
C2-2A;24;23/05/2026;Sabado;17:10;18:50;Disponible;24;0
C2-2A;24;23/05/2026;Sabado;18:50;20:30;Disponible;24;0
C2-2A;24;23/05/2026;Sabado;20:30;22:10;Disponible;24;0
C2-2B;24;18/05/2026;Lunes;08:00;09:40;Bloqueado;24;24
C2-2B;24;18/05/2026;Lunes;09:40;11:20;Bloqueado;24;24
C2-2B;24;18/05/2026;Lunes;11:20;13:00;Bloqueado;24;24
C2-2B;24;18/05/2026;Lunes;13:00;13:50;Bloqueado;24;24
C2-2B;24;18/05/2026;Lunes;13:50;15:30;Bloqueado;24;24
C2-2B;24;18/05/2026;Lunes;15:30;17:10;Bloqueado;24;24
C2-2B;24;18/05/2026;Lunes;17:10;18:50;Disponible;24;0
C2-2B;24;18/05/2026;Lunes;18:50;20:30;Disponible;24;0
C2-2B;24;18/05/2026;Lunes;20:30;22:10;Disponible;24;0
C2-2B;24;19/05/2026;Martes;08:00;09:40;Bloqueado;24;24
C2-2B;24;19/05/2026;Martes;09:40;11:20;Bloqueado;24;24
C2-2B;24;19/05/2026;Martes;11:20;13:00;Bloqueado;24;24
C2-2B;24;19/05/2026;Martes;13:00;13:50;Bloqueado;24;24
C2-2B;24;19/05/2026;Martes;13:50;15:30;Bloqueado;24;24
C2-2B;24;19/05/2026;Martes;15:30;17:10;Bloqueado;24;24
C2-2B;24;19/05/2026;Martes;17:10;18:50;Bloqueado;24;24
C2-2B;24;19/05/2026;Martes;18:50;20:30;Bloqueado;24;24
C2-2B;24;19/05/2026;Martes;20:30;22:10;Disponible;24;0
C2-2B;24;20/05/2026;Miercoles;08:00;09:40;Bloqueado;24;24
C2-2B;24;20/05/2026;Miercoles;09:40;11:20;Bloqueado;24;24
C2-2B;24;20/05/2026;Miercoles;11:20;13:00;Disponible;24;0
C2-2B;24;20/05/2026;Miercoles;13:00;13:50;Bloqueado;24;24
C2-2B;24;20/05/2026;Miercoles;13:50;15:30;Bloqueado;24;24
C2-2B;24;20/05/2026;Miercoles;15:30;17:10;Bloqueado;24;24
C2-2B;24;20/05/2026;Miercoles;17:10;18:50;Bloqueado;24;24
C2-2B;24;20/05/2026;Miercoles;18:50;20:30;Bloqueado;24;24
C2-2B;24;20/05/2026;Miercoles;20:30;22:10;Bloqueado;24;24
C2-2B;24;21/05/2026;Jueves;08:00;09:40;Disponible;24;0
C2-2B;24;21/05/2026;Jueves;09:40;11:20;Disponible;24;0
C2-2B;24;21/05/2026;Jueves;11:20;13:00;Disponible;24;0
C2-2B;24;21/05/2026;Jueves;13:00;13:50;Bloqueado;24;24
C2-2B;24;21/05/2026;Jueves;13:50;15:30;Bloqueado;24;24
C2-2B;24;21/05/2026;Jueves;15:30;17:10;Bloqueado;24;24
C2-2B;24;21/05/2026;Jueves;17:10;18:50;Bloqueado;24;24
C2-2B;24;21/05/2026;Jueves;18:50;20:30;Bloqueado;24;24
C2-2B;24;21/05/2026;Jueves;20:30;22:10;Bloqueado;24;24
C2-2B;24;22/05/2026;Viernes;08:00;09:40;Bloqueado;24;24
C2-2B;24;22/05/2026;Viernes;09:40;11:20;Bloqueado;24;24
C2-2B;24;22/05/2026;Viernes;11:20;13:00;Bloqueado;24;24
C2-2B;24;22/05/2026;Viernes;13:00;13:50;Bloqueado;24;24
C2-2B;24;22/05/2026;Viernes;13:50;15:30;Bloqueado;24;24
C2-2B;24;22/05/2026;Viernes;15:30;17:10;Bloqueado;24;24
C2-2B;24;22/05/2026;Viernes;17:10;18:50;Bloqueado;24;24
C2-2B;24;22/05/2026;Viernes;18:50;20:30;Bloqueado;24;24
C2-2B;24;22/05/2026;Viernes;20:30;22:10;Bloqueado;24;24
C2-2B;24;23/05/2026;Sabado;08:00;09:40;Disponible;24;0
C2-2B;24;23/05/2026;Sabado;09:40;11:20;Disponible;24;0
C2-2B;24;23/05/2026;Sabado;11:20;13:00;Disponible;24;0
C2-2B;24;23/05/2026;Sabado;13:00;13:50;Bloqueado;24;24
C2-2B;24;23/05/2026;Sabado;13:50;15:30;Disponible;24;0
C2-2B;24;23/05/2026;Sabado;15:30;17:10;Disponible;24;0
C2-2B;24;23/05/2026;Sabado;17:10;18:50;Disponible;24;0
C2-2B;24;23/05/2026;Sabado;18:50;20:30;Disponible;24;0
C2-2B;24;23/05/2026;Sabado;20:30;22:10;Disponible;24;0
A1-3;30;18/05/2026;Lunes;08:00;09:40;Bloqueado;30;30
A1-3;30;18/05/2026;Lunes;09:40;11:20;Bloqueado;30;30
A1-3;30;18/05/2026;Lunes;11:20;13:00;Disponible;30;0
A1-3;30;18/05/2026;Lunes;13:00;13:50;Bloqueado;30;30
A1-3;30;18/05/2026;Lunes;13:50;15:30;Bloqueado;30;30
A1-3;30;18/05/2026;Lunes;15:30;17:10;Bloqueado;30;30
A1-3;30;18/05/2026;Lunes;17:10;18:50;Bloqueado;30;30
A1-3;30;18/05/2026;Lunes;18:50;20:30;Disponible;30;0
A1-3;30;18/05/2026;Lunes;20:30;22:10;Disponible;30;0
A1-3;30;19/05/2026;Martes;08:00;09:40;Bloqueado;30;30
A1-3;30;19/05/2026;Martes;09:40;11:20;Bloqueado;30;30
A1-3;30;19/05/2026;Martes;11:20;13:00;Bloqueado;30;30
A1-3;30;19/05/2026;Martes;13:00;13:50;Bloqueado;30;30
A1-3;30;19/05/2026;Martes;13:50;15:30;Bloqueado;30;30
A1-3;30;19/05/2026;Martes;15:30;17:10;Bloqueado;30;30
A1-3;30;19/05/2026;Martes;17:10;18:50;Bloqueado;30;30
A1-3;30;19/05/2026;Martes;18:50;20:30;Bloqueado;30;30
A1-3;30;19/05/2026;Martes;20:30;22:10;Disponible;30;0
A1-3;30;20/05/2026;Miercoles;08:00;09:40;Bloqueado;30;30
A1-3;30;20/05/2026;Miercoles;09:40;11:20;Bloqueado;30;30
A1-3;30;20/05/2026;Miercoles;11:20;13:00;Bloqueado;30;30
A1-3;30;20/05/2026;Miercoles;13:00;13:50;Bloqueado;30;30
A1-3;30;20/05/2026;Miercoles;13:50;15:30;Bloqueado;30;30
A1-3;30;20/05/2026;Miercoles;15:30;17:10;Bloqueado;30;30
A1-3;30;20/05/2026;Miercoles;17:10;18:50;Disponible;30;0
A1-3;30;20/05/2026;Miercoles;18:50;20:30;Disponible;30;0
A1-3;30;20/05/2026;Miercoles;20:30;22:10;Disponible;30;0
A1-3;30;21/05/2026;Jueves;08:00;09:40;Bloqueado;30;30
A1-3;30;21/05/2026;Jueves;09:40;11:20;Bloqueado;30;30
A1-3;30;21/05/2026;Jueves;11:20;13:00;Bloqueado;30;30
A1-3;30;21/05/2026;Jueves;13:00;13:50;Bloqueado;30;30
A1-3;30;21/05/2026;Jueves;13:50;15:30;Disponible;30;0
A1-3;30;21/05/2026;Jueves;15:30;17:10;Bloqueado;30;30
A1-3;30;21/05/2026;Jueves;17:10;18:50;Bloqueado;30;30
A1-3;30;21/05/2026;Jueves;18:50;20:30;Bloqueado;30;30
A1-3;30;21/05/2026;Jueves;20:30;22:10;Bloqueado;30;30
A1-3;30;22/05/2026;Viernes;08:00;09:40;Disponible;30;0
A1-3;30;22/05/2026;Viernes;09:40;11:20;Bloqueado;30;30
A1-3;30;22/05/2026;Viernes;11:20;13:00;Bloqueado;30;30
A1-3;30;22/05/2026;Viernes;13:00;13:50;Bloqueado;30;30
A1-3;30;22/05/2026;Viernes;13:50;15:30;Bloqueado;30;30
A1-3;30;22/05/2026;Viernes;15:30;17:10;Bloqueado;30;30
A1-3;30;22/05/2026;Viernes;17:10;18:50;Disponible;30;0
A1-3;30;22/05/2026;Viernes;18:50;20:30;Bloqueado;30;30
A1-3;30;22/05/2026;Viernes;20:30;22:10;Bloqueado;30;30
A1-3;30;23/05/2026;Sabado;08:00;09:40;Disponible;30;0
A1-3;30;23/05/2026;Sabado;09:40;11:20;Disponible;30;0
A1-3;30;23/05/2026;Sabado;11:20;13:00;Disponible;30;0
A1-3;30;23/05/2026;Sabado;13:00;13:50;Bloqueado;30;30
A1-3;30;23/05/2026;Sabado;13:50;15:30;Bloqueado;30;30
A1-3;30;23/05/2026;Sabado;15:30;17:10;Bloqueado;30;30
A1-3;30;23/05/2026;Sabado;17:10;18:50;Bloqueado;30;30
A1-3;30;23/05/2026;Sabado;18:50;20:30;Bloqueado;30;30
A1-3;30;23/05/2026;Sabado;20:30;22:10;Bloqueado;30;30
A1-2;30;18/05/2026;Lunes;08:00;09:40;Bloqueado;30;30
A1-2;30;18/05/2026;Lunes;09:40;11:20;Bloqueado;30;30
A1-2;30;18/05/2026;Lunes;11:20;13:00;Bloqueado;30;30
A1-2;30;18/05/2026;Lunes;13:00;13:50;Bloqueado;30;30
A1-2;30;18/05/2026;Lunes;13:50;15:30;Bloqueado;30;30
A1-2;30;18/05/2026;Lunes;15:30;17:10;Bloqueado;30;30
A1-2;30;18/05/2026;Lunes;17:10;18:50;Bloqueado;30;30
A1-2;30;18/05/2026;Lunes;18:50;20:30;Bloqueado;30;30
A1-2;30;18/05/2026;Lunes;20:30;22:10;Bloqueado;30;30
A1-2;30;19/05/2026;Martes;08:00;09:40;Bloqueado;30;30
A1-2;30;19/05/2026;Martes;09:40;11:20;Bloqueado;30;30
A1-2;30;19/05/2026;Martes;11:20;13:00;Bloqueado;30;30
A1-2;30;19/05/2026;Martes;13:00;13:50;Bloqueado;30;30
A1-2;30;19/05/2026;Martes;13:50;15:30;Bloqueado;30;30
A1-2;30;19/05/2026;Martes;15:30;17:10;Bloqueado;30;30
A1-2;30;19/05/2026;Martes;17:10;18:50;Disponible;30;0
A1-2;30;19/05/2026;Martes;18:50;20:30;Disponible;30;0
A1-2;30;19/05/2026;Martes;20:30;22:10;Bloqueado;30;30
A1-2;30;20/05/2026;Miercoles;08:00;09:40;Bloqueado;30;30
A1-2;30;20/05/2026;Miercoles;09:40;11:20;Bloqueado;30;30
A1-2;30;20/05/2026;Miercoles;11:20;13:00;Bloqueado;30;30
A1-2;30;20/05/2026;Miercoles;13:00;13:50;Bloqueado;30;30
A1-2;30;20/05/2026;Miercoles;13:50;15:30;Bloqueado;30;30
A1-2;30;20/05/2026;Miercoles;15:30;17:10;Bloqueado;30;30
A1-2;30;20/05/2026;Miercoles;17:10;18:50;Bloqueado;30;30
A1-2;30;20/05/2026;Miercoles;18:50;20:30;Disponible;30;0
A1-2;30;20/05/2026;Miercoles;20:30;22:10;Disponible;30;0
A1-2;30;21/05/2026;Jueves;08:00;09:40;Disponible;30;0
A1-2;30;21/05/2026;Jueves;09:40;11:20;Disponible;30;0
A1-2;30;21/05/2026;Jueves;11:20;13:00;Disponible;30;0
A1-2;30;21/05/2026;Jueves;13:00;13:50;Bloqueado;30;30
A1-2;30;21/05/2026;Jueves;13:50;15:30;Bloqueado;30;30
A1-2;30;21/05/2026;Jueves;15:30;17:10;Bloqueado;30;30
A1-2;30;21/05/2026;Jueves;17:10;18:50;Bloqueado;30;30
A1-2;30;21/05/2026;Jueves;18:50;20:30;Bloqueado;30;30
A1-2;30;21/05/2026;Jueves;20:30;22:10;Disponible;30;0
A1-2;30;22/05/2026;Viernes;08:00;09:40;Bloqueado;30;30
A1-2;30;22/05/2026;Viernes;09:40;11:20;Bloqueado;30;30
A1-2;30;22/05/2026;Viernes;11:20;13:00;Disponible;30;0
A1-2;30;22/05/2026;Viernes;13:00;13:50;Bloqueado;30;30
